,,D/E/De,GDP Growth,Lab Qual,Lab Quant,ICT Capital,NICT Capital,Cl Quality,Cl Quant,ContriICT,ContriNICT,Export of goods and services (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1995,1,3.097728826,0.074237498,3.204734251,9.074406326,2.657006867,0.046474123,0.805181544,0.734687317,0.95963385,17.8776281,1.20802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1996,1,4.000480846,0.413415208,1.279711258,10.31128913,2.878518961,0.260116719,0.582867209,0.729125179,0.919979159,18.88696513,1.313819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.220564,1.233997,1.159352,1.31979,1.475228,0.624678,2.004022,2.061045,1.55549,,,
Australia,1997,1,4.247742146,0.448148604,0.931226276,13.35600913,3.010700829,0.280502322,0.806282833,0.859992113,0.932169333,19.12779167,1.118726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49198,0.487134,0.620413,0.681267,0.494798,0.324147,0.313041,0.261953,0.240394,,,
Australia,1998,1,4.665186629,0.567406882,1.296666637,14.72640187,2.799521759,0.352820405,1.417890005,0.79875011,0.815807749,19.59250924,1.042236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.448269,0.418642,0.432788,0.550056,0.659558,0.734331,0.789977,0.8046,1.139952,,,
Australia,1999,1,4.19757627,0.375677692,2.287332714,17.03937352,2.827471681,0.232878071,1.022688579,0.635694433,0.666598929,18.35830881,1.033434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.897131,0.996233,1.002034,0.985904,0.796845,0.969854,1.082197,1.14484,1.11396,,,
Australia,2000,1,3.084223904,0.71018259,1.653618924,17.2143653,2.435140871,0.439215824,-0.036002317,0.788791198,0.902255997,19.43448994,1.053333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.319487,0.27201,0.258432,0.275482,0.328645,0.443466,0.587548,0.535079,0.444197,,,
Australia,2001,1,2.419178747,0.407112204,-0.058670482,13.52928281,1.963566616,0.249818689,0.729916571,1.012579352,1.216908172,22.14540427,1.098674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242381,0.238457,0.29035,0.342249,0.383777,0.42543,0.465549,0.478246,0.457495,,,
Australia,2002,1,3.944508359,0.947362743,1.201546658,14.5930931,2.665709518,0.575504731,1.335438434,1.016349997,1.555440389,20.67215047,1.220564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72723,0.708776,0.73632,0.753806,0.697191,0.618711,0.558857,0.514486,0.494037,,,
Australia,2003,1,3.039931506,0.568398787,2.215329744,18.2054013,3.562751412,0.342640467,1.276221778,0.908406358,1.872401871,18.91803815,1.233997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168128,0.055363,-0.02171,-0.05678,-0.1128,-0.13372,-0.19014,-0.25338,-0.1532,,,
Australia,2004,1,3.956411034,-0.090828602,2.130739391,19.05308515,4.475235939,-0.054402451,1.209904533,0.862113759,1.871521957,17.00838581,1.159352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,2005,1,3.100189939,0.267281896,2.027745545,19.28283125,5.258182064,0.159480353,1.258422155,1.00886235,1.918416843,18.0675262,1.31979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,2006,1,2.72189863,0.294263801,2.106492035,18.77525747,5.246939883,0.175793725,1.560525037,0.89633232,1.981098019,19.59611931,1.475228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,2007,1,4.36668396,0.295771006,2.596794814,21.18862718,5.45861423,0.177741447,0.823239237,0.58996845,1.785401814,19.88697623,0.624678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,2008,1,2.638588659,0.297434395,1.370678097,20.86563706,5.560107902,0.178641267,0.177429616,0.551697332,1.597827114,19.75073446,2.004022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,2009,1,1.486589387,0.298983208,0.296598277,15.8414945,4.897751659,0.178856321,0.801412947,0.512117334,0.452481396,22.53134553,2.061045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,2010,1,2.218963206,0.286375894,1.344156452,14.19847012,4.378277436,0.170743035,-1.270015072,0.524336565,0.451790495,19.46042646,1.55549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,1995,1,2.632983215,0.551157678,-1.810767129,9.863195568,1.834089868,0.386564666,1.540532708,0.498689013,0.476260856,33.61413937,0.153106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,1996,1,2.37000715,0.667638099,2.213187143,9.465976059,1.817906648,0.4647227,0.837060343,0.670815818,0.474510202,34.32599729,0.13502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
